prefecture,city,district,number,address,name,lat,long
東京都,港区,東京7区,12-8,三田５−２１,さわやか信金前都道植込,35.644112,139.7363548
東京都,港区,東京7区,13-1,三田４−７−３０,忍願寺入口右側鉄柵右寄り,35.644486,139.7374359
東京都,港区,東京7区,13-2,三田４−１７,三田台公園（南側）北側植込,35.6425601,139.7395824
東京都,港区,東京7区,13-3,三田４−１６,亀塚公園内小山前鉄柵,35.6433403,139.7410283
東京都,港区,東京7区,13-4,三田４−１６,亀塚公園内北側鉄柵,35.6436804,139.740921
東京都,港区,東京7区,13-5,三田４−１７,三田台公園（南側）南側植込,35.6423334,139.7393571
東京都,港区,東京7区,13-6,高輪１−５−３８,ゆらりん高輪保育園金網,35.6415531,139.7366096
東京都,港区,東京7区,13-7,三田４－17,三田台公園（北側）南側植込,35.6428216,139.7397916
東京都,港区,東京7区,14-1,白金４−１−１２,白金の丘学園正門右側植込,35.6440579,139.7272409
東京都,港区,東京7区,14-2,白金１−２５−３,白金一丁目児童遊園植込,35.6442499,139.7319107
東京都,港区,東京7区,14-3,白金１−１7−４,白高児童遊園北側植込,35.6450961,139.7335131
東京都,港区,東京7区,14-4,白金３－７－９,シティハイツ白金東側鉄柵,35.6460578,139.7303308
東京都,港区,東京7区,14-5,白金３−１８−２,旧三光小学校南側植込,35.6439555,139.7293482
東京都,港区,東京7区,14-6,白金３−１８−２,旧三光小学校正門左側植込,35.6446051,139.7294823
東京都,港区,東京7区,14-7,白金３−１３−８,三光幼稚園南側鉄柵,35.6448637,139.7288893
東京都,港区,東京7区,14-8,白金４−３−９,西光寺北側塀バス停前,35.6437583,139.7299264
東京都,港区,東京7区,14-9,白金１−２９,白金志田町歩道橋,35.6434112,139.7342093
東京都,港区,東京7区,15-1,白金５−９−１,北里大学白金キャンパス北側入口左側塀,35.6460756,139.7261359
東京都,港区,東京7区,15-2,白金５−９−１,北里大学白金キャンパス正面入口左側塀,35.6444757,139.7259213
東京都,港区,東京7区,15-3,白金５−１２−７,（有）荒木塗工所東側塀,35.6457155,139.7244221
東京都,港区,東京7区,15-4,白金６−９−５,神応いきいきプラザ北側植込,35.6437203,139.7243127
東京都,港区,東京7区,15-5,白金６−９−５,神応いきいきプラザ南側フェンス,35.643232,139.7245058
東京都,港区,東京7区,15-6,白金６−２２−４,奥三光児童遊園西側金網,35.6437195,139.7213394
東京都,港区,東京7区,15-7,白金台５−１１,日東坂下遊び場内西側植込,35.6413942,139.7192995
東京都,港区,東京7区,15-8,白金５−１２−５,三光児童遊園北側金網,35.6457314,139.7240333
東京都,港区,東京7区,16-1,白金台５−１９−１,白金台どんぐり児童遊園東側塀,35.6368953,139.7226071
東京都,港区,東京7区,16-2,白金台１−４−２６,白金小学校西側鉄柵（南寄り）,35.6364812,139.7286121
東京都,港区,東京7区,16-3,白金台２−２４−３,白金児童遊園南側金網,35.6327199,139.7294434
東京都,港区,東京7区,16-4,白金台２−２５−３,独立行政法人地域医療機能推進機構東京高輪病院第一白金寮入口右側金網,35.6329163,139.7300238
東京都,港区,東京7区,16-5,白金台３－７－１,白金台幼稚園入口右側金網,35.6355045,139.7264548
