投票区,投票所施設名,設置場所,所在地番,地図リンク,緯度,経度
第6投票区,幌別中学校,岡志別の森運動公園前,千歳町97番地25,"https://mapfan.com/map?c=42.42477335226394,141.1169787406039,18&s=std,pc,ja",42.42477335226394,141.1169787406039
第6投票区,幌別中学校,日本工学院北海道専門学校前,札内町184番地3,"https://mapfan.com/map?c=42.45130158114776,141.11191837253284,18&s=std,pc,ja&p=42.45123231361197,141.1113390153841,%E5%8C%97%E6%B5%B7%E9%81%93%E7%99%BB%E5%88%A5%E5%B8%82%E6%9C%AD%E5%86%85%E7%94%BA%EF%BC%94%EF%BC%95%E2%80%90%EF%BC%91",42.45130158114776,141.11191837253284
第6投票区,幌別中学校,緑ヶ丘団地2号棟横緑ヶ丘団地2号棟横緑ヶ丘団地2号棟横緑ヶ丘団地２号棟前,常盤町3丁目26番地1,"http://mapfan.com/map?c=42.41902327068999,141.10813117698274,18&s=std,pc,ja",42.41902327068999,141.10813117698274
第7投票区,富浦会館,富浦会館前,富浦町1丁目46番地3,"https://mapfan.com/map?c=42.443931482347665,141.1592747526009,18&s=std,pc,ja",42.443931482347665,141.1592747526009
第8投票区,登別中学校,旧登別公民館前,登別東町2丁目5番地52,"https://mapfan.com/map?c=42.45221455316579,141.17728827890548,18&s=std,pc,ja",42.45221455316579,141.17728827890548
第8投票区,登別中学校,登別中学校プール横,登別本町1丁目1番地1,"https://mapfan.com/map?c=42.451393245132806,141.1752980798165,18&s=std,pc,ja",42.451393245132806,141.1752980798165
第8投票区,登別中学校,登別小学校前,登別本町3丁目25番地2,"https://mapfan.com/map?c=42.44893063614472,141.1690295238528,18&s=std,pc,ja",42.44893063614472,141.1690295238528
第8投票区,登別中学校,旧登別市婦人センター前,登別東町3丁目6番地7,"https://mapfan.com/map?c=42.44893063614472,141.1690295238528,18&s=std,pc,ja",42.44893063614472,141.1690295238528
第8投票区,登別中学校,登別児童館前,登別東町4丁目19番地2,"http://mapfan.com/map?c=42.453037590143566,141.17476940763205,18&s=std,pc,ja",42.453037590143566,141.17476940763205
第8投票区,登別中学校,翠の家前,登別東町5丁目13番地6,"http://mapfan.com/map/spots/search?c=42.454281769506,141.17177477666996,18&s=std,pc,ja&p=42.454281769506,141.17177477667,%E8%80%81%E4%BA%BA%E6%86%A9%E3%81%AE%E5%AE%B6%E7%BF%A0%E3%81%AE%E5%AE%B6,SCAQC,J,FTZL00",,
第8投票区,登別中学校,道営登別東町団地前,登別東町5丁目37番地1,"http://mapfan.com/map?c=42.4562832274994,141.17032821537214,18&s=std,pc,ja&p=42.45659391621973,141.17008681655716,%E5%8C%97%E6%B5%B7%E9%81%93%E7%99%BB%E5%88%A5%E5%B8%82%E7%99%BB%E5%88%A5%E6%9D%B1%E7%94%BA%EF%BC%95%E2%80%90%EF%BC%93%EF%BC%97%E2%80%90%EF%BC%91",42.4562832274994,141.17032821537214
第9投票区,白樺の家,登別石水亭社員住宅横,中登別町170番地35,"https://mapfan.com/map?c=42.47151544882229,141.15801639440838,18&s=std,pc,ja",42.47151544882229,141.15801639440838
第9投票区,白樺の家,白樺の家横,中登別町152番地3,"https://mapfan.com/map?c=42.472835426608185,141.1609639563231,18&s=std,pc,ja",42.472835426608185,141.1609639563231
