prefecture,city,kuwari,number,address,name,lat,long,note
東京都,千代田区,東京1区,10-6,神田淡路町二丁目12番地,旧神田保育園仮校舎,35.6976325,139.7687134,
東京都,千代田区,東京1区,10-7,神田淡路町二丁目109番地,神田保育園,35.6968179,139.767016,
東京都,千代田区,東京1区,11-1,神田司町二丁目2番地,神田児童公園①,35.693129,139.7674443,
東京都,千代田区,東京1区,11-2,神田司町二丁目2番地,神田児童公園②,35.693129,139.7674443,
東京都,千代田区,東京1区,11-3,内神田二丁目1番2号地先,鎌倉橋橋詰,35.6893624,139.7670849,
東京都,千代田区,東京1区,11-4,神田司町二丁目16番地,神田さくら館（西側）・千代田小学校,35.693169,139.7682744,
東京都,千代田区,東京1区,11-5,神田司町二丁目16番地,神田さくら館（東側）・千代田小学校,35.693169,139.7682744,
東京都,千代田区,東京1区,11-6,内神田二丁目1番8号,スポーツセンター,35.6891407,139.7675921,
東京都,千代田区,東京1区,12-1,鍛冶町二丁目4番2号,旧今川中学校校舎（北東側）,35.6918864,139.77302,
東京都,千代田区,東京1区,12-2,鍛冶町二丁目4番2号,旧今川中学校校舎（北西側）,35.6918864,139.77302,
東京都,千代田区,東京1区,12-3,鍛冶町二丁目4番2号,旧今川中学校校舎（南西側）,35.6918864,139.77302,
東京都,千代田区,東京1区,12-4,鍛冶町二丁目4番2号,旧今川中学校校舎（南東側）,35.6918864,139.77302,
東京都,千代田区,東京1区,13-1,神田須田町二丁目９番地,都営新宿線 岩本町駅Ａ２番地上出入口,35.6957984,139.7737969,
東京都,千代田区,東京1区,13-2,神田鍛冶町二丁目１１番地,ＪＲ東日本 神田交通変電所,35.6938538,139.7717575,
東京都,千代田区,東京1区,13-3,神田須田町二丁目２５番地,柳森神社神楽殿前,35.696689,139.7739954,
東京都,千代田区,東京1区,13-4,神田東松下町２２番地,区営東松下町住宅（裏側：搬出口）,35.6949058,139.7741138,
東京都,千代田区,東京1区,13-5,神田須田町二丁目８番地先,靖国通り沿い（歩道）,35.6959109,139.7722367,
東京都,千代田区,東京1区,14-1,東神田一丁目１２番１３号,都立一橋高校（西側）,35.6945742,139.781045,
東京都,千代田区,東京1区,14-2,東神田一丁目１２番１３号,都立一橋高校（東側）,35.6945742,139.781045,
東京都,千代田区,東京1区,14-3,東神田一丁目１２番１３号,都立一橋高校（南側）,35.6945742,139.781045,
東京都,千代田区,東京1区,14-4,岩本町二丁目１８番６号,岩本町二丁目児童遊園,35.6935564,139.7782195,
東京都,千代田区,東京1区,14-5,岩本町一丁目１番１号,地蔵橋東児童遊園 (位置情報が見つかりませんでした),35.691136,139.7753163,
東京都,千代田区,東京1区,14-6,岩本町二丁目１５番３号,岩本町ほほえみプラザ（西側）,35.6943852,139.7779111,
東京都,千代田区,東京1区,14-7,東神田一丁目２１番,大和橋交差点（南側）,35.694328,139.780502,緯度経度は怪しい
東京都,千代田区,東京1区,14-8,東神田二丁目８番１６号,美倉橋東児童遊園,35.6965521,139.7803248,
東京都,千代田区,東京1区,15-1,神田和泉町１番地,和泉公園,35.6992439,139.7759687,
東京都,千代田区,東京1区,15-2,神田和泉町１番地,和泉小学校,35.6992439,139.7759687,
東京都,千代田区,東京1区,15-3,神田練塀町３番地,大東ビル（南側）,35.7004772,139.7740088,
東京都,千代田区,東京1区,15-4,神田佐久間町一丁目１８番地,秋葉原公園（東側）,35.6978768,139.7747463,
東京都,千代田区,東京1区,15-5,神田佐久間町一丁目１８番地,秋葉原公園（西側）,35.6978768,139.7747463,
東京都,千代田区,東京1区,15-6,神田佐久間町三丁目２１番地,佐久間公園（北側）,35.6982672,139.7785736,
東京都,千代田区,東京1区,15-7,神田佐久間河岸９２番地先,美倉橋北児童遊園,35.697044,139.7777485,
東京都,千代田区,東京1区,16-1,外神田一丁目１番５号,旧東京都住宅公社昌平橋ビル前,35.6982169,139.7694671,
東京都,千代田区,東京1区,16-2,外神田二丁目１７番９号,神田明神駐車場前,35.7011869,139.7676839,
東京都,千代田区,東京1区,16-3,外神田三丁目４番７号,昌平童夢館,35.7012225,139.7699232,
東京都,千代田区,東京1区,16-4,外神田三丁目５番１８号,芳林公園（南側）,35.7017929,139.7703092,
東京都,千代田区,東京1区,16-5,外神田六丁目１１番１４号,アーツ千代田３３３１（東側塀）,35.7042472,139.7707951,
東京都,千代田区,東京1区,16-6,外神田六丁目１１番１９号,練成公園,35.7037296,139.7709737,
